Paper #,Experiment #,Original paper figure,Was experiment originally identified by RP:CB team,Did experiment continue after sharing with labs (before submitting protocol to eLife),Did the experiment protocol get submitted to eLife,Did the experiment protocol get accepted and published in eLife,Clarifications asked of original authors,Quality of response from original authors,Data shared by original authors,Code shared by original authors,Key materials asked to be shared,Key materials offered to be shared,Key materials shared,Type of experiment,What types of experimental techniques were utilized?,What category of experimental techniques were utilized?,Number of lab(s) contracted for the experiment,Lab(s) contracted for the experiment,Registered Report protocol,Experiment description,Original sample number (reported),Replication sample number (power),Replication sample number (reported),Replication experiment attempted,Replication experiment completed,"If experiment incomplete, why?",Changes needed during experimentation?,"If modifications were needed for experiment to proceed, what were they?",Changes able to be implemented during experimentation?,"If modifications unable to be fully implemented, why?",Replication study figure,Were materials shippped between replicating labs?,"If a material was shipped between replicating labs, what was it?",Was the original experiment blinded?,Was the replication experiment blinded?,Was the original experiment randomized?,Was the replication experiment randomized?,Was the original experiment sample size determined a priori?,Was the replication experiment sample size determined a priori?,Was a statistical test reported in the original paper?,What statistical test(s) was reported?,Was variation of biological repeats reported in the original experiment?,Notes
30,3,"2A,2B",Yes,No,No,No,3,0,0,0,"Organisms,Cells",No,NA,Animal,"animal care,cell isolation,FACS,animal injection (cells, IV, antibodies),tissue harvesting,immunohistochemistry","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
31,1,"3C,S2",Yes,Yes,Yes,No,2,2,1,0,Cells,Cells,NA,Cell-based,"transfection (siRNA, plasmid),cell culture,luciferase assay,RNA extraction,qRT-PCR","cell,molecular",1,CRO26,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,Stated in results text describing results
31,2,4B,Yes,Yes,Yes,No,2,2,1,0,Cells,Cells,NA,Cell-based,"transfection (siRNA),cell culture,cell proliferation/viability assay (PrestoBlue)",cell,1,CRO26,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Fisher's method,Yes,
31,3,4A,Yes,Yes,Yes,No,2,1,1,0,Cells,Cells,NA,Cell-based,"transfection (siRNA, plasmid),cell culture,cell proliferation/viability assay (PrestoBlue),Western blot assay","cell,immuno",1,CRO26,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Fisher's method,Yes,
32,1,"4C,4D",Yes,No,No,No,4,0,0,0,NA,NA,NA,Cell-based,"cell isolation,cell culture,FACS","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
32,2,"5A,5B(middle,top)",Yes,No,No,No,4,0,0,0,Cells,No,NA,Animal,"viral transduction,cell culture,cell isolation,FACS,animal care,animal injection (cells, mammary fat pad),tissue harvesting","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,"5B(bottom), but not 5B(top), 5B(middle), has statistical test reported"
33,1,1D,Yes,No,No,No,3,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,HPLC,RNA extraction,qRT-PCR","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
33,2,3F,Yes,No,No,No,4,0,0,0,Organisms,No,NA,Animal,"animal care,tissue harvesting,radioligand binding assay","animal,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
33,3,3G,Yes,No,No,No,5,0,0,0,"Cells,Plasmids",No,NA,Cell-based,"cell culture,RNA extraction,qRT-PCR","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
33,4,"4C,4D",Yes,No,No,No,2,0,0,0,"Organisms,Cells,Plasmids",No,NA,Animal,"transfection (plasmid),cell culture,cell isolation,animal care,animal injection (cells, SC),tissue harvesting,immunohistochemistry","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
33,5,"1E,1F",Yes,No,No,No,3,0,0,0,Antibodies,No,NA,Patient Samples,immunohistochemistry,immuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
34,1,"2I,3B,3C,3E,S8A",Yes,Yes,Yes,Yes,2,4,1,0,Plasmids,Plasmids,Plasmids,Animal,"animal care,animal injection (plasmids, HTV),tissue harvesting,immunohistochemistry","immuno,animal",2,"Core12,CRO17",1,"Percent Nras, p21, and p16-positive cells in wild-type or SCID/beige mouse livers 6 and 30 days after stable delivery of NRAS-G12V or NRAS-G12V/D38A",32,56,NA,Yes,No,Antibody signal could not be reliably detected,4,Animals experienced distress during injection (new plasmids obtained from original authors and pilot conducted to optimize conditions); Antibody staining was highly variable across samples,3,Time/budget constraint prevented further optimization of staining/infection procedures,NA,Yes,Embedded tissue,No,Yes,No,Yes,No,Yes,Yes,Student's t test,Yes,
34,2,4A,Yes,Yes,Yes,Yes,3,5,1,0,Plasmids,Plasmids,Plasmids,Animal,"animal care,animal injection (plasmids, HTV, antibodies, IV),tissue harvesting,immunohistochemistry,cell isolation,FACS","immuno,animal",2,"Core12,CRO17",2,Percent Nras-positive cells in wild-type or CD4-/- mouse livers 12 days after stable delivery of NRAS-G12V or NRAS-G12V/D38A,20,28,NA,Yes,No,Antibody signal could not be reliably detected,4,Animals experienced distress during injection (new plasmids obtained from original authors and pilot conducted to optimize conditions); Antibody staining was highly variable across samples,3,Time/budget constraint prevented further optimization of staining/infection procedures,NA,Yes,Embedded tissue,No,Yes,No,Yes,No,Yes,Yes,Student's t test,Yes,
35,1,"3B,3C,3D",Yes,No,No,No,4,0,0,0,Organisms,No,NA,Animal,"animal care,animal surgery (osmotic minipump, drug),tissue harvesting,immunohistochemistry","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Log-rank Mantel-Cox test,Yes,
35,2,"3F,3G",Yes,No,No,No,4,0,0,0,Organisms,No,NA,Animal,"animal care,animal surgery (osmotic minipump, drug),tissue harvesting,immunohistochemistry","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
36,1,"3A,3B,4M,4N,S6A,S6B",Yes,No,No,No,5,0,0,0,NA,NA,NA,Animal,"animal care,animal injection (antibody, IP),tissue harvesting,immunofluorescence,microscopy (confocal)","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Biophysical modeling,Yes,Statistical modeling described in Supplemental Materials
36,2,"1D,4B,4C,4D,4E,4G,S7,S8A,S8B,S8C",Yes,No,No,No,4,0,0,0,NA,NA,NA,Animal,"animal care,animal injection (drug, IP),tissue harvesting,immunofluorescence,microscopy (confocal)","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Biophysical modeling,Yes,Statistical modeling described in Supplemental Materials
37,1,"4C,S16",Yes,Yes,Yes,Yes,3,4,0,0,NA,NA,NA,Cell-based,"cell culture,colony formation assay (Giemsa stain),microscopy (bright-field)",cell,1,CRO18,1,Sensitivity of Ewing's sarcoma cell lines to olaparib,13,12,12,Yes,Yes,NA,0,NA,6,NA,1,No,NA,No,Yes,No,No,No,Yes,No,NA,Yes,
37,2,4E,Yes,Yes,Yes,Yes,3,3,1,0,Cells,Cells,Cells,Cell-based,"cell culture,cell proliferation/viability assay (Syto60)",cell,1,CRO18,2,Olaparib sensitivity in cells transformed with the EWS-FLI1 rearrangement,3,3,3,Yes,Yes,NA,0,NA,6,NA,2,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
37,3,"4F,S20",Yes,Yes,Yes,Yes,4,5,1,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell proliferation/viability assay (Cell Titer 96 Aqueous One),RNA extraction,qRT-PCR","cell,molecular",1,CRO18,3,Olaparib sensitivity after depletion of EWS-FLI1 from A673 cells,3,3,3,Yes,Yes,NA,0,NA,6,NA,3,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
38,1,"1B,1C",Yes,No,No,No,1,4,0,0,NA,NA,NA,Animal,"animal care,animal injection (drug, IP),tissue harvesting,immunofluorescence,microscopy (confocal)","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
38,2,"3A,3B,3C,3D,3E",Yes,No,No,No,1,4,2,0,NA,NA,NA,Animal,"animal care,animal injection (drug, IP),tissue harvesting,immunofluorescence,microscopy (confocal)","immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
38,3,"2D,2E",Yes,No,No,No,2,5,2,0,NA,NA,NA,Animal,"animal care,animal injection (drug, IP),tissue harvesting,cell isolation,FACS,colony formation assay (Matrigel),microscopy (bright-field)","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
39,1,"6A,6B,6C,Table S4",Yes,Yes,Yes,Yes,4,5,2,1,"Antibodies,Cells","Antibodies,Cells","Antibodies,Cells",Animal,"cell culture,animal care,animal injection (cells, mammary fat pads, antibodies),tissue harvesting,hematology analysis,ELISA,immunohistochemistry","cell,immuno,animal,molecular",1,CRO6,1,Tumor weights and blood toxicity of immune competent hosts treated with control or CD47 targeted antibodies,10,14,13,Yes,Yes,NA,1,Number of mice to inoculate was increased,5,NA,"1,2",No,NA,No,No,No,Yes,No,Yes,Yes,unknown,Yes,"Original study analyzed toxicity in different mouse strains and treatment regimen; Replication study blinded hematological analysis, but not tumor caliper measurements, which was the primary end-point"
39,2,"4A,4B,4C",Yes,No,No,No,4,5,2,1,"Antibodies,Plasmids","Antibodies,Plasmids",NA,Animal,"viral transduction,cell culture,cell isolation,flow cytometry,FACS,animal care,animal injection (cells, luciferin, antibodies, IP),IVIS,ELISA","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,unknown,Yes,
40,1,2A,Yes,Yes,Yes,Yes,2,5,1,0,"Cells,Plasmids","Cells,Plasmids","Cells,Plasmids",Cell-based,"cell culture,cell proliferation/viability assay (fluorescence)",cell,1,Core13,"1,2,3","Proliferation of SK-MEL-5 cells treated with PLX4720 with or without conditioned medium from CCD-1090Sk, PC60163A1, or LL86 cells",3,4,NA,Yes,No,Cells did not propogate and were not regenerated in time to conduct experiments,1,Cells shared did not grow so new stable cells needed to be generated,0,Time/budget constraint prevented completion,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
40,2,2C,Yes,Yes,Yes,Yes,1,5,1,0,"Cells,Plasmids","Cells,Plasmids","Cells,Plasmids",Cell-based,"cell culture,cell proliferation/viability assay (fluorescence)",cell,1,Core13,"1,2,4",Proliferation of SK-MEL-5 cells treated with PLX4720 + HGF or PD184352 + HGF,3,3,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
40,3,"2D,S11",Yes,Yes,Yes,Yes,1,5,1,0,"Cells,Plasmids","Cells,Plasmids","Cells,Plasmids",Cell-based,"cell culture,cell proliferation/viability assay (fluorescence)",cell,1,Core13,"1,2,5","Proliferation of SK-MEL-5 cells co-cultured with or without LL86 or CCD-1090Sk cells and treated with crizotinib, PHA-665752, PLX4720, and/or PD184352",3,6,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
40,4,"4C,S19",Yes,Yes,Yes,Yes,1,5,0,0,"Cells,Plasmids","Cells,Plasmids","Cells,Plasmids",Cell-based,"cell culture,Western blot assay","cell,immuno",1,Core13,6,"pAKT, pERK, and pMET levels in SK-MEL-5 cells treated with PD184352, PLX4720, and/or HGF",3,6,NA,No,NA,NA,NA,NA,NA,NA,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
41,1,S7,Yes,Yes,Yes,Yes,1,5,0,0,Organisms,Organisms,Organisms,Recombinant,"bacterial cell culture,genomic DNA extraction,qPCR,sequencing","cell,molecular",1,Core14,"1,2",Impact of pks island deletion on bacterial growth,unknown,3,3,Yes,Yes,NA,0,NA,6,NA,1,No,NA,No,No,No,No,No,No,No,NA,No,
41,2,"4A(right),4B(right),4C,4B,4D,4E,S10",Yes,Yes,Yes,Yes,2,5,0,0,Organisms,Organisms,Organisms,Animal,"bacterial cell culture,animal care,genomic DNA extraction,qPCR,sequencing,animal injection (drug, IP),tissue harvesting,immunohistochemistry","cell,animal,molecular",1,Core14,3,"Survival, inflamation, neoplasia, and tumor invasion of germ-free Il10-/- mice mono-associated with E.coli NC101 or NC101deltapks",20,30,84,Yes,Partial,"Timeline was longer than original so inflamation, neoplasia, and tumor invasion are not comparable to original",2,"Difficulty in obtaining enough animals for end of experiment analysis, which turned out to be miscommunication about the timeline (replication was longer than original study)",4,NA,"2,3",No,NA,No,No,No,Yes,No,Yes,Yes,Log-rank Mantel-Cox test; Student's t test,Yes,"Outcomes that included blinding in both original and replication (i.e., histopatholgy scoring) was not evaluated in replication (only survival curves were)"
42,1,"4A,S1C(right),S5A",Yes,Yes,Yes,Yes,3,5,2,0,Cells,Cells,Cells,Cell-based,"viral transduction,cell culture,microscopy (fluorescence),exosome purification and analysis (ultracentrifugation, nanoparticle analysis system),Western blot assay","cell,immuno",2,"Core15,CRO19","1,2",MET and pMET expression in exosomes,2,3,4,Yes,Partial,pMET could not be reliabilty detected in exosomes,4,"Low expresssion of Met in shScr cells required optimization of MOI for generation of stable cells (additional experiment to confirm shMet expression in shMet cells); Inability to detect pMet required optimization of lysis and Western blot (e.g., phosphatase inhibitors, different antibody)",4,NA,1,Yes,"Cells,Exosomes",No,No,No,No,No,Yes,No,NA,Yes,
42,2,4E,Yes,Yes,Yes,Yes,3,5,2,0,Cells,Cells,Cells,Animal,"viral transduction,cell culture,microscopy (fluorescence),exosome purification and analysis (ultracentrifugation, nanoparticle analysis system),animal care,animal injection (exosomes, cells, luciferin, IV, SC, retro-orbital),IVIS","cell,immuno,animal",2,"Core15,CRO19",3,Exosome-dependent Met signaling on primary tumor growth and metastasis,21,21,19,Yes,Yes,NA,1,Change in timeline (shortened 3 days) due to animal distress/death,5,NA,2,Yes,"Cells,Exosomes",No,No,No,Yes,No,Yes,Yes,between-subjects ANOVA,Yes,
42,3,4F,Yes,No,No,No,2,5,2,0,NA,NA,NA,Patient Samples,"exosome purification and analysis (ultracentrifugation, nanoparticle analysis system),multiplex protein assay","immuno,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,between-subjects ANOVA,Yes,
43,1,"3A,3B,S13",Yes,Yes,Yes,Yes,5,5,0,0,Organisms,Organisms,Organisms,Animal,"animal care,tissue harvesting,immunohistochemistry","immuno,animal",3,"CRO20,Core16,CRO21",1,Tumor weight and number of pulmonary macrometastases of MMTV-PyMT+/tg; Postn+/+ or MMTV-PyMT+/tg; Postn-/- mice,35,29,NA,Yes,No,Not enough animals of the appropriate genotypes were generated,1,Not enough animals of the appropriate genotypes were generated with attempted breeding strategy,0,Time/budget constraint prevented completion,NA,Yes,Genomic DNA,No,NA,No,NA,No,Yes,Yes,Student's t test,Yes,
43,2,2H,Yes,Yes,Yes,Yes,3,5,0,0,Organisms,Organisms,Organisms,Animal,"animal care,tissue harvesting,cell isolation,FACS,RNA extraction,qRT-PCR","cell,immuno,animal,molecular",1,CRO20,2,"POSTN expression in CD34+/CD31- pulmonary fibroblasts, CD31+ endothelial cells, and CD45+ immune cells from pulmonary macrometastases of MMTV-PyMT+/tg; Postn+/+ mice",9,18,NA,Yes,No,Not enough animals of the appropriate genotypes were generated,1,Not enough animals of the appropriate genotypes were generated with attempted breeding strategy,0,Time/budget constraint prevented completion,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
43,3,"1A,S32",Yes,No,No,No,4,5,0,0,Organisms,Organisms,NA,Animal,"animal care,tissue harvesting,cell isolation,FACS","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
44,1,"3B,S6",Yes,Yes,Yes,Yes,2,5,2,0,"Cells,Plasmids","Cells,Plasmids","Cells,Plasmids",Animal,"viral transduction,cell culture,Western blot assay,animal care,animal injection (cells, SC),tissue harvesting,immunohistochemistry","cell,immuno,animal",3,"CRO6,CRO7,CRO22","1,2,3",Impact of PREX2 isoforms on tumor-free survival,40,43,43,Yes,Yes,NA,0,NA,6,NA,"1,2,3",Yes,Cells,No,No,No,No,No,Yes,Yes,Student's t test,Yes,"Replication study blinded histopathology analysis, but not tumor caliper measurements, which was the primary end-point"
45,1,2A,Yes,No,No,No,2,5,0,0,NA,NA,NA,Cell-based,"cell culture,colony formation assay (Crystal violet),microscopy (bright-field)",cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
45,2,2B,Yes,No,No,No,3,5,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
45,3,"3D,3E",Yes,No,No,No,3,5,0,0,Plasmids,Plasmids,NA,Cell-based,"viral transduction,cell culture,colony formation assay (Crystal violet),microscopy (bright-field),Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
45,4,4C,Yes,No,No,No,2,0,0,0,NA,NA,NA,Animal,"viral transduction,animal care,animal injection (cells, SC)","cell,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
46,1,2B,Yes,Yes,Yes,Yes,2,1,0,0,NA,NA,NA,Cell-based,"cell culture,cell proliferation/viability assay (Syto60)",cell,1,Core17,1,"Inhibition of A204, M14, or KHM-S3 cell proliferation when treated with primary kinase inhibitor, primary kinase inhibitor + ligand, and primary kinase inhibitor + ligand + secondary kinase inhibitor",unknown,3,NA,Yes,No,Viability assay could not be reliably performed,1,Drug conditions needed to be optimized to ensure positive controls respond,0,Time/budget constraint prevented further optimization of cell viability assay,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
46,2,2C,Yes,Yes,Yes,Yes,2,1,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",1,Core17,2,"Phosphorylated kinase levels of primary kinase in A204, M14, or KHM-S3 cells treated with primary kinase inhibitor, primary kinase inhibitor + ligand, or primary kinase inhibitor + ligand + secondary kinase",unknown,3,NA,Yes,No,Western blots/drug conditions could not be reliably performed,1,Drug conditions needed to be optimized to ensure positive controls respond,0,Time/budget constraint prevented further optimization of drug conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,No,
46,3,2A,Yes,No,No,No,2,1,0,0,NA,NA,NA,Cell-based,"cell culture,Western blot assay","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
47,1,"1B,S1",Yes,Yes,Yes,Yes,2,0,0,0,Plasmids,No,No,Cell-based,"transfection (plasmid),cell culture,histone extraction,Western blot assay,metabolite extraction,GC-MS","cell,immuno",2,"Core18,Core22",1,"Methylation status and 2HG production in 293T cells expressing IDH1-WT, IDH1-R132H,IDH2-WT, or IDH2-R172K",3,6,6,Yes,Yes,NA,2,Lysis conditions needed to be optimized to enable Western blot analysis,5,NA,NA,No,NA,No,No,No,No,No,Yes,Yes,Correlation,Yes,
47,2,"2A,2B,2D",Yes,Yes,Yes,Yes,4,0,0,0,Plasmids,No,No,Cell-based,"viral transduction,cell culture,Western blot assay,metabolite extraction,GC-MS,differentation assay (Oil-Red-O),RNA extraction,qRT-PCR","cell,immuno,molecular",2,"Core18,Core22",2,Differentation and 2HG production in 3T3-L1 cells expressing IDH2-WT or IDH2-R172K,3,5,5,Yes,Partial,Differentation did not occur during experimentation despite occurring during pilot,3,Differentation needed to be optimized since it did not occur during experimentation despite occuring during pilot,0,Time/budget constraint prevented further optimization of differentation assay,NA,No,NA,No,No,No,No,No,Yes,Yes,Student's t test,Yes,
47,3,"4D,S8",Yes,Yes,Yes,Yes,2,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,differentation assay (Oil-Red-O),Western blot assay","cell,immuno",1,Core22,3,Methylation status and differentation in 3T3-L1 cells depleted of KDM4C,3,3,NA,Yes,No,Differentation did not occur during experimentation despite occurring during pilot; knockdown was not reliable,4,Differentation needed to be optimized since it did not occur during experimentation despite occuring during pilot; Knockdown conditions needed to be optimized since knockdown was not reliable,0,Time/budget constraint prevented further optimization of differentation assay and knockdown conditions,NA,No,NA,No,NA,No,NA,No,Yes,No,NA,Yes,
47,4,"3F,S6",Yes,No,No,No,5,0,0,0,"Organisms,Cells,Antibodies",No,NA,Cell-based,"animal care,tissue harvesting,cell isolation,viral transduction,cell culture,Western blot assay","cell,immuno,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,No,
47,5,1C,Yes,No,No,No,4,0,0,0,NA,NA,NA,Patient Samples,immunohistochemistry,immuno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
48,1,"1B,3E",Yes,Yes,Yes,Yes,1,5,2,0,Cells,Cells,Cells,Cell-based,"cell culture,cell counting assay (C-chip),Western blot assay,RNA extraction,RNA gel electrophoresis","cell,immuno,molecular",1,Core13,"1,2",Induction of c-Myc in P493-6 cells and impact on total RNA levels,3,3,3,Yes,Yes,NA,1,Cell number needed to be optimized to enable sufficient number for assays,5,NA,1,No,NA,No,No,No,No,No,Yes,No,NA,Yes,
48,2,"3F,Table S1",Yes,Yes,Yes,Yes,1,5,3,2,Cells,Cells,Cells,Cell-based,"cell culture,cell counting assay (C-chip),NanoString hybridization and analysis","cell,molecular",2,"Core13,Core19","1,3,4",Digital gene expression analsysis in P493-6 cells,1269,1336,1292,Yes,Yes,NA,0,NA,6,NA,2,Yes,Cell lysate,No,No,No,No,No,Yes,Yes,Mann-Whitney,Yes,Code shared by authors after Registered Report published
49,1,"1H,1E",Yes,No,No,No,2,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,Western blot assay,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
49,2,"6D,6F",Yes,No,No,No,2,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,Western blot assay,flow cytometry","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
49,3,7C,Yes,No,No,No,4,0,0,0,NA,NA,NA,Animal,"cell culture,animal care,animal injection (cells, drug, SC, IP)","cell,animal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
50,1,2,Yes,Yes,Yes,Yes,1,0,0,0,NA,NA,NA,Patient Samples,"genomic DNA extraction,qPCR",molecular,2,"CRO23,CRO24",1,Relative abundance of F. nucleatum by qPCR in colorectal carcinoma versus adjacent normal biopsies,99,40,40,Yes,Yes,NA,3,Increased amount of total RNA for PCR assay; Re-purified genomic DNA; Sequenced PCR products,5,NA,"1,2",Yes,Genomic DNA,No,No,No,No,No,Yes,Yes,paired t test,Yes,
51,1,"3A,3B,3C",Yes,No,No,No,4,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,mitotic shake-off assay,immunofluorescence,microscopy (confocal)","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
51,2,"3D,3E",Yes,No,No,No,3,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,mitotic shake-off assay,immunofluorescence,microscopy (confocal)","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
51,3,"5A,5D,5I,S11B,S11C,S11E",Yes,No,No,No,3,0,0,0,NA,NA,NA,Cell-based,"transfection (siRNA),cell culture,mitotic shake-off assay,immunofluorescence,microscopy (confocal),spectral karyotyping","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,
52,1,"2C,2D,S1",Yes,No,No,No,3,5,1,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,RNA extraction,qRT-PCR,migration assay (transwell)","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
52,2,"2I,2J",Yes,No,No,No,3,5,1,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,transfection (plasmid),luciferase assay","cell,molecular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
52,3,"3F,3G",Yes,No,No,No,3,5,1,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,transfection (siRNA, plasmid),migration assay (transwell)",cell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
52,4,"4A,4H",Yes,No,No,No,1,5,1,0,"Cells,Plasmids","Cells,Plasmids",NA,Cell-based,"viral transduction,cell culture,ELISA","cell,immuno",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Student's t test,Yes,
